"","SITE_ID","AG_ECO9","ecoregion_3","total_N","total_P","chloride","sulfate","ANC","DOC","turbidity","RDI","pct_fine","total_N_ug","chloride_ueq","sulfate_ueq","pass_nap","pass_sap","ref_cond","val_cond"
"141","NRS18_PA_10017","NAP",62,0.289,23.515,0.433,7.51,265.78,0.77,2.13,0,3.80952381,289,12.2143864598025,156.360607953362,7,7,"NON-REF","V"
"142","NRS18_OH_10034","SAP",70,1.119,40.88,31.8,70.087,1095.97,2.57,6.62,3.857611255,0,1119,897.03808180536,1459.23381220071,2,2,"NON-REF","C"
"143","NRS18_CT_10030","NAP",59,0.439,11.124,38.813,5.581,395.07,2.04,1.15,0.402608442,0,439,1094.86600846262,116.198209452426,8,7,"REF","C"
"144","NRS18_SC_10180","SAP",45,0.546,89.211,3.096,1.324,869.42,4.22,7.45,0.181827273,2.857142857,546,87.3342736248237,27.5661045180096,6,6,"NON-REF","V"
"145","NRS18_TN_10007","SAP",71,1.008,435.019,6.903,9.005,2535.79,2.21,36.96,0.848513636,0,1008,194.724964739069,187.486987299604,5,5,"NON-REF","C"
"146","NRS18_MA_10017","NAP",59,0.979,41.944,133.183,5.814,613.64,8.25,3.13,0.431831818,39.04761905,979,3756.92524682652,121.0493441599,5,4,"NON-REF","C"
"147","NRS18_RI_10001","NAP",59,0.915,17.431,85.849,7.668,524.65,3.19,0.9,2.818213636,15.23809524,915,2421.69252468265,159.650218613367,6,5,"NON-REF","C"
"148","NRS18_VA_10005","SAP",67,1.103,29.33,14.656,7.47,2877.24,1.64,4.06,1.909127273,22.85714286,1103,413.42736248237,155.527795128045,5,5,"NON-REF","C"
"149","NRS18_MD_10005","SAP",64,1.725,43.525,72.027,10.859,1538.9,3.75,5.3,2.545472727,5.714285714,1725,2031.79125528914,226.087861753071,3,3,"NON-REF","V"
"150","NRS18_OK_10921","SAP",36,18.7,4050,40.7,32.9,526,6.27,15.6,0.136363636,20.95238095,18700,1148.09590973202,684.988548823652,3,3,"NON-REF","C"
"151","NRS18_PA_10012","NAP",60,0.54,57.829,21.039,6.249,1036.26,3.36,15.25,2.121286364,0,540,593.483779971791,130.106183635228,4,4,"NON-REF","V"
"152","NRS18_PA_10007","NAP",62,0.186,9.443,4.047,5.364,154.55,2.01,2.99,0.212127273,2.857142857,186,114.160789844852,111.680199875078,8,8,"REF","C"
