"","SITE_ID","lat","long","ecoregion_3","elevation","slope","ws_area","ws_precip","ws_temp","ws_runoff","bfi_ws","perm_ws","erod_ws"
"79","NRS18_DE_10015",39.81746964,-75.64229325,64,5507,0.4125,15.6879,1182.448051,11.90238104,538,54.64735242,3.99,0.32
"80","NRS18_CT_10008",42.01008881,-72.63232541,59,3718,0.383333333,1.3203,1159.002282,10.16163378,679,51,8.098629857,0.34728698
"81","NRS18_NY_10027",43.58079923,-75.95908256,58,31754,0.011166667,4.869,1419.406689,6.51027928,829,48,4.07,0.26
"82","NRS18_AR_10190",34.28039517,-94.44835594,36,28296,0.7175,21.0942,1432.901945,15.45115095,604.8053588,20,4.857104702,0.363784879
"83","NRS18_PA_10002",41.41991585,-78.7477514,62,41313,0.168350168,794.898,1184.18133,7.059877567,675.5344082,42.55106995,9.337659869,0.274025781
"84","NRS18_NH_10002",44.24308509,-72.04818615,58,12180,0.026650179,5712.8067,1159.319228,4.530700596,663.1575722,48.19035219,7.476160769,0.28258644
"85","NRS18_NY_10032",42.97827417,-74.82221319,83,16458,0.689858491,57.0663,1136.154706,7.180784856,783.3650386,45.64376173,3.13754412,0.331772675
"86","NRS18_VT_10001",43.90350591,-72.82532461,58,25880,0.272115385,165.9285,1310.847798,4.684502964,641.6962981,47.33886041,6.482840073,0.376966995
"87","NRS18_PA_10006",41.44305158,-75.66055884,67,23434,0.984848485,46.9314,1145.168068,8.182105998,561.011928,44.76985771,6.487073985,0.294419514
"88","NRS18_PA_10016",40.76001178,-79.54688849,70,23382,0.033334222,23284.6677,1148.611719,7.910735965,651.6638611,40.36255076,7.402897726,0.317755383
"89","NRS18_OH_10037",40.26612187,-81.87411506,70,22397,0.039293348,12572.388,1010.389788,10.08453524,382.7125571,38.62981083,4.688413863,0.386915652
"90","NRS18_RI_10197",41.90500088,-71.50957817,59,8377,2.443333333,3.9951,1276.002032,9.701960509,671.5395359,55,12.56263573,0.216972291
"91","NRS18_AR_10004",36.11488648,-91.96699076,39,15185,0.30625,13.6998,1203.950979,14.83612265,448,40.18709762,5,0.29
"92","NRS18_AR_10025",36.08300385,-91.54011977,39,10760,0.136875,903.699,1216.069902,14.7299908,348.5851929,42.43748693,4.432889906,0.343183785
"93","NRS18_IL_10027",37.58947817,-89.37419247,71,15889,0.68,5.0931,1188.268645,13.80341946,326.0636155,14,3.471231666,0.37
"94","NRS18_PA_10035",40.36424226,-75.27294934,64,10224,0.583333333,10.4895,1225.575575,11.08622548,552,39.68271128,2.74,0.39
"95","NRS18_NY_10007",42.1154688,-79.26636795,61,39855,0.077061697,475.065,1183.716736,7.729512102,686.0619039,41.50981339,5.028856394,0.297190547
"96","NRS18_AR_10016",35.51034155,-91.92887006,37,7989,0.079465989,3051.4923,1296.243825,14.7391513,514.5548049,28.23929,4.597244039,0.279345445
"97","NRS18_NH_10004",43.865808,-72.17821718,58,12027,0.024692821,8095.1022,1149.018297,4.802348314,647.8987801,48.19422188,8.459665761,0.272388424
"98","NRS18_MD_10002",39.06636869,-77.38957869,64,5541,0.028444647,29087.3502,1024.444682,11.1163492,400.4182006,43.86179345,9.54619076,0.300831819
"99","NRS18_CT_10036",41.28863522,-72.86611382,59,844,0.125833333,50.3055,1261.938122,10.51063498,722.8095,48.42091421,16.83843905,0.258124698
"100","NRS18_SC_10479",34.84915278,-83.05363505,45,30176,0.38125,20.4507,1524.00332,15.21438309,810.7130661,67.10808432,4.642371166,0.236720063
"101","NRS18_NY_10019",43.13766757,-76.29550634,83,11202,0.016308923,15638.3613,939.6451045,8.203913088,400.3101452,48.1139257,4.622655448,0.32776226
"102","NRS18_AR_10191",36.0964581,-92.11822359,39,11156,1.6,6.1722,1207.751499,14.63635077,448,37,5,0.29
"103","NRS18_NY_10061",43.16656562,-75.97636262,83,11270,0.030652281,799.236,1064.346299,7.84530284,653.3107484,55.78514481,5.653112774,0.306945667
"104","NRS18_MD_10010",39.3151199,-77.65539854,64,6690,0.039020127,24331.1967,1015.902628,10.91705485,394.7040385,43.39525849,10.20335656,0.299985602
"105","NRS18_SC_10010",33.89573007,-82.01937973,45,9196,0.520833333,67.5432,1156.157512,16.96039532,283,47.58150783,3.49715702,0.372516256
"106","NRS18_SC_10004",34.826529,-80.8152635,45,14522,0.04,97.6113,1133.320857,16.15157212,424.8593913,28.5433121,3.457672534,0.307539301
"107","NRS18_AR_10489",35.52203628,-94.07139992,37,12195,0.286960514,129.1104,1340.032999,15.2914047,525,22.90743503,5.178231513,0.29928445
"108","NRS18_AR_10027",36.08893257,-94.02749288,38,34525,0.018155827,1060.8426,1327.618029,14.27915936,447.3843664,29.54820253,4.993155354,0.282346218
"109","NRS18_RI_10004",41.50653938,-71.71228802,59,2326,0.084550866,155.6442,1229.5703,9.850841454,699.4658143,62.84566723,17.12994906,0.229140386
"110","NRS18_GA_10027",33.60959357,-82.21193048,45,5969,0.095675676,281.9565,1150.862128,17.10734802,487.1640423,50.5341941,5.610433152,0.250200935
"111","NRS18_RI_10009",41.40064885,-71.73109982,59,1470,0.049086982,559.7964,1247.7968,9.962590091,699.5688541,65.60274182,17.67679807,0.231943276
"112","NRS18_VT_10184",43.51047318,-73.24101049,58,12275,0.366666667,121.716,1217.198564,6.909593814,557.2782904,46.4997412,4.62191711,0.304204895
"113","NRS18_AR_10007",35.67817479,-93.74408948,38,24111,0.1589,536.6646,1363.215735,14.44038942,524.2924816,23.83051481,5.015135286,0.280761571
"114","NRS18_VT_10008",43.23836778,-73.24959885,58,21897,0.96,16.5393,1300.247464,6.631781171,688.2498776,48,6.084551341,0.334278174
"115","NRS18_MA_10007",42.14235046,-70.89254964,59,3780,0.963333333,3.1347,1252.174862,10.19462533,661.2845248,53.98478323,30.41033018,0.182026988
"116","NRS18_NH_10020",42.9547515,-72.53091136,59,6599,0.031795289,14830.7769,1155.936188,5.517877788,631.7770513,47.74791938,8.330446757,0.279548081
"117","NRS18_KY_10026",39.03353098,-84.50062278,71,14202,0.21875,150.1047,1069.7171,12.64292629,464.3500956,15.63669559,1.360664216,0.355932319
"118","NRS18_RI_10017",41.63146727,-71.44787904,59,1383,0.17,10.7226,1213.715505,10.53677881,668,63.61188518,26.81711348,0.16217811
"119","NRS18_RI_10192",41.73250387,-71.4937123,59,2155,0.044117647,5.841,1230.052798,10.18963546,668,59.06841294,7.466192604,0.227149461
"120","NRS18_GA_10022",33.58986194,-82.21196701,45,6358,0.178673528,70.1928,1148.7008,17.24994007,489,55.3581393,4.433318161,0.262816186
"121","NRS18_SC_10020",34.3114328,-82.78739283,45,14010,0.161644898,5659.0749,1471.390195,15.1242799,919.4148632,64.50688398,5.132416834,0.240032692
"122","NRS18_AR_10034",36.10229524,-91.61969827,39,12792,0.194166667,555.7275,1212.656473,14.61017194,346.8972379,43.74845945,4.272573793,0.358407061
"123","NRS18_MA_10006",42.65447753,-72.46514205,59,5380,0.061094819,17448.2388,1172.426396,5.718107941,635.0472954,47.35055641,8.436237109,0.281830482
"124","NRS18_RI_10008",41.5218168,-71.59217352,59,3515,0.034090909,72.459,1266.493813,9.854364655,698.4160974,65.05419203,17.62721612,0.263080114
"125","NRS18_SC_10781",34.50782971,-81.51029334,45,9289,0.065733254,1983.4848,1229.85354,15.86337881,472.0209486,57.76496003,4.176845661,0.264245369
"126","NRS18_OH_10009",39.46602773,-81.48058598,70,17855,0.018447462,20809.7217,1013.676258,10.34119586,391.3102805,36.4246403,4.140089432,0.389701639
"127","NRS18_NH_10007",44.86396856,-71.54817245,58,30291,0.054241701,1514.7873,1218.591434,3.848780722,672.9165253,49.3761161,5.478637799,0.266523539
"128","NRS18_NY_10038",43.30507222,-73.59358931,59,6111,0.34248452,7269.7158,1209.106229,5.675331071,696.7327978,49.48566827,8.059657313,0.227537535
"129","NRS18_SC_10012",34.32988475,-80.69510871,45,4459,0.022264178,12271.6602,1171.331843,15.08941552,582.7712587,45.67306558,4.513922583,0.259442529
"130","NRS18_CT_10006",41.86842391,-72.08972479,59,12234,0.641071429,84.4623,1196.444542,8.930946315,675.7238164,49.26545334,9.581720673,0.232759278
"131","NRS18_NY_10026",43.3076253,-73.63244863,59,8465,0.346452328,15.6762,998.6397388,8.090908615,709.0925479,46.76656333,10.77284878,0.15
"132","NRS18_VT_10015",44.54095144,-73.03445819,58,13977,0.065625,191.4021,1245.557635,5.9781045,676.6486747,47.2440224,9.475004773,0.263056299
"133","NRS18_PA_10005",41.48846668,-78.13260722,62,47718,5.873333333,2.9826,1106.755654,7.107551032,609,39.74109837,8.040042245,0.277917924
"134","NRS18_TN_10002",36.60637352,-85.50504123,71,14875,0.011999616,16178.5134,1308.228196,13.09612176,638.9768289,30.72155447,6.635881572,0.322962426
"135","NRS18_VA_10003",37.49176284,-78.75646116,45,19347,2.29,0.6561,1121.217574,13.44780417,505,52.95610425,3.22,0.43
"136","NRS18_OH_10019",40.14887007,-80.70355735,70,19079,0.00911278,63784.4724,1129.399919,9.119584259,596.8363271,37.4998005,6.707047277,0.334851902
"137","NRS18_NJ_10019",41.11231264,-74.97563402,62,9791,0.054009679,9280.0287,1194.841375,7.374636572,551.8336865,43.65040006,4.219371332,0.310707144
"138","NRS18_VT_10013",44.00941614,-72.4004584,58,47530,4.013333333,2.3121,1135.064028,5.041988652,633.0957571,50.00233554,5.98,0.29
"139","NRS18_NY_10014",43.24866112,-73.74077517,59,10713,0.306297476,7195.5126,1210.57738,5.652530363,696.6046704,49.50687566,7.941938941,0.228071713
"140","NRS18_TN_10016",35.69163737,-87.22674783,71,15974,0.028267752,3887.8758,1395.640161,14.52674063,629.3974738,30.70568898,3.512538313,0.317186139
"141","NRS18_PA_10017",41.47982703,-78.06973939,62,42033,7.633333333,1.1565,1088.747387,7.252706089,609,39.13929961,5.91,0.314723735
"142","NRS18_OH_10034",40.50690353,-80.61779008,70,19655,0.010642102,61797.1041,1133.195333,9.071844008,602.834517,37.43480834,6.790477925,0.333118563
"143","NRS18_CT_10030",41.90060311,-72.17456169,59,16025,1.853571429,14.1084,1219.522459,8.782449444,675,49.87700944,8.772910181,0.232128732
"144","NRS18_SC_10180",34.67497716,-81.10775781,45,13065,0.229166667,31.8258,1137.575246,15.98163532,424.6192523,35.29893671,4.349966631,0.251259544
"145","NRS18_TN_10007",35.6724138,-87.2633331,71,16081,0.028267752,4379.2461,1400.108376,14.52958296,629.9189561,31.96396852,3.710651464,0.31991407
"146","NRS18_MA_10017",42.46445751,-71.41567548,59,3715,0.240740741,64.3581,1217.268159,9.310181761,607.6691605,55.39436994,12.81628774,0.210107539
